gene_id	NA.	X300_cells_rep1	X300_cells_rep2	X300_cells_rep3	X300_cells_noGSKi_rep1	X300_cells_noGSKi_rep2	X300_cells_noGSKi_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000015354	Pcolce2	61.5287895781367	69.3443433226522	75.1280545359078	210.438379865072	213.843387597905	221.038929900893	141.886980800094	1.64929951141927	0.176617343892866	9.33826472002499	9.79258273204544e-21	1.65213111418022e-18
ENSMUSG00000027863	Cd2	6.83653217534852	8.915701284341	8.4651329054544	92.7524612675435	104.031918290873	81.0142684252143	50.3360023914624	3.52244384365171	0.379712119771611	9.27661683743565	1.74945255427861e-20	2.91510631174054e-18
ENSMUSG00000017724	Etv4	722.719115679701	760.806509597099	777.734085688623	1204.78465818487	1209.85267938274	1363.24009708108	1006.52285760235	0.740664165118987	0.080100091238604	9.24673310187225	2.31458817087111e-20	3.80975567588383e-18
ENSMUSG00000031074	Fgf3	157.240240033016	129.772985360963	129.09327680818	427.858127782539	406.495088136558	295.051965252324	257.585280562263	1.43968828190228	0.156899100965174	9.17588611436239	4.47875541598532e-20	7.28310383729565e-18
ENSMUSG00000045095	Magi1	109.384514805576	138.688686645304	111.104869384089	289.228105027824	319.801822894164	312.054959860085	213.377159769507	1.35802331043559	0.148160163385569	9.16591396367122	4.91288685472396e-20	7.89395641407253e-18
ENSMUSG00000028078	Dclk2	294.947530993608	268.461672006268	275.116819427268	46.8748997803714	89.5830407504737	105.018496106759	180.000409844125	-1.79554742701989	0.196383212029115	-9.14308004471225	6.06984333278522e-20	9.63819711324731e-18
ENSMUSG00000022817	Itgb5	349.639788396396	386.347055654777	364.000714934539	649.267228872804	721.480618517256	668.117670469669	523.14217947424	0.890555058320865	0.0976431341140811	9.12050874238006	7.47724945360157e-20	1.17349344041e-17
ENSMUSG00000030630	Fah	99.6180402693642	91.1382797954858	91.0001787336348	258.310617938643	276.455190272967	234.041219895064	175.09392115086	1.44785375002418	0.159881656858154	9.05578399971616	1.35590198410801e-19	2.10351828500066e-17
ENSMUSG00000034486	Gbx2	347.686493489154	396.253390415155	354.477440415903	883.641727774662	728.223428036109	648.114147401714	559.73277125545	1.04064766292305	0.114938999475506	9.05391266386314	1.37935151784887e-19	2.1155803905007e-17
ENSMUSG00000007039	Ddah2	2367.39342757783	2209.11265156449	2264.42305220905	1274.59833870882	1350.48842077596	1582.27867467517	1841.38242758522	-0.701450218985498	0.0776371702992583	-9.03497920238084	1.64033619233966e-19	2.4875974817987e-17
ENSMUSG00000026833	Olfm1	152.35700276491	159.4919896421	139.674692939998	355.052432378984	352.552611985735	330.058130621243	248.197810055495	1.19948496243333	0.132939737777175	9.02277214089159	1.83388736749815e-19	2.75021975545806e-17
ENSMUSG00000029860	Zyx	1097.75173787025	1105.54695925828	1086.71143673771	1696.47243673217	1695.33496474015	1597.28131697614	1379.84980871912	0.600677065271189	0.0671321295064873	8.94768376464421	3.63019292260127e-19	5.38425427212631e-17
ENSMUSG00000034648	Lrrn1	246.115158312547	177.323392210782	199.98876489136	58.8429592987641	65.5015781831421	66.0116261242487	135.630579836807	-1.71184252743633	0.192054899739945	-8.91329786302917	4.95366726035972e-19	7.26735293620382e-17
ENSMUSG00000005958	Ephb3	288.110998818259	225.864432536639	260.302836842723	87.7657698015465	104.995176793566	86.0151491922029	175.509060664156	-1.47282969784821	0.16621179027076	-8.86116258930228	7.91842830905533e-19	1.14919383749806e-16
ENSMUSG00000075588	Hoxb2	546.922574027882	526.026375776119	508.966115940446	966.420806110211	893.903890499351	848.149378081256	715.064856739211	0.775354770067633	0.0877788027248162	8.83305246824049	1.01857215379851e-18	1.46251791061898e-16
ENSMUSG00000048332	Lhfp	33.2060134231214	22.7845699488714	16.9302658109088	145.611390807111	134.856190377057	106.018672260157	76.5678504378712	2.3991539863992	0.27285815902105	8.79267819957003	1.46036303667778e-18	2.07479156905684e-16
ENSMUSG00000031383	Dusp9	43.9491354129548	34.6721716613261	34.9186732349994	169.547509843897	184.945632517107	121.021314561123	98.1757395385678	2.06506014975687	0.236674707786925	8.72530981052701	2.65452886387686e-18	3.73210167455687e-16
ENSMUSG00000017697	Ada	57.6221997636518	69.3443433226522	65.6047800172716	257.313279645443	211.916870592519	169.029769924213	138.471873877625	1.7294413250506	0.198693765660607	8.70405429833512	3.20233712534298e-18	4.45587053409837e-16
ENSMUSG00000027102	Hoxd8	111.337809712819	197.13606173154	177.767791014542	26.9281339163836	40.4568571131172	37.0065176757152	98.4388618606862	-2.21747900072669	0.255140701710458	-8.69120052528176	3.58629400378406e-18	4.88931415849226e-16
ENSMUSG00000039405	Prss23	79.1084437433186	93.1195467475615	74.069912922726	0.997338293199392	8.66932652423939	9.00158538057937	44.1610256019374	-3.71772722357918	0.427752985010958	-8.69129463464514	3.58332403819115e-18	4.88931415849226e-16
ENSMUSG00000031503	Col4a2	401.402103438321	338.796648804958	381.98912235863	152.592758859507	176.276305992868	177.031179151394	271.348019767613	-1.14906027826898	0.132234233601561	-8.68958247023421	3.63773940623008e-18	4.90985687658875e-16
ENSMUSG00000046814	Gchfr	252.951690487895	191.192260875313	208.453897796815	65.8243273511599	52.9792176481296	84.0147968854074	142.56936517412	-1.68828966025119	0.195030771189129	-8.65652968481569	4.8634443685989e-18	6.49919887554251e-16
ENSMUSG00000029718	Pcolce	125.987521517137	69.3443433226522	80.4187626018168	10.9707212251933	8.66932652423939	8.00140922718166	50.5653474030367	-3.32024990527533	0.383649307848002	-8.65438784159303	4.95564233064028e-18	6.55748083692666e-16
ENSMUSG00000026193	Fn1	1230.57579156273	1147.15356525188	1103.64170254862	3349.06198856356	2912.89371214444	2349.41378433122	2015.45675740041	1.30649511307147	0.151245650353676	8.63823263688136	5.70892773068672e-18	7.44217916812703e-16
ENSMUSG00000051495	Irf2bp2	444.374591397654	456.682032453467	532.245231430445	240.358528661054	228.292265138304	241.042452968848	357.165850341629	-1.01332910202275	0.117314395348979	-8.63772173063981	5.73450865736987e-18	7.44217916812703e-16
ENSMUSG00000010760	Phlda2	17.5796541651819	21.7939364728336	20.1046906504542	226.395792556262	113.664503317805	90.0158538057937	81.5924051613885	2.8544176573489	0.330522182968223	8.63608497231587	5.81722493738289e-18	7.47762714093875e-16
ENSMUSG00000023991	Foxp4	647.517261750867	529.98890968027	531.187089817264	268.284000870637	298.610135834912	299.052669865915	429.106677969978	-0.981002016764494	0.114205704608231	-8.58978122090928	8.71350822923507e-18	1.10949264688666e-15
ENSMUSG00000030352	Tspan9	514.693208058382	372.478186990246	421.140362046356	201.462335226277	201.321027062893	174.030650691201	314.187628345893	-1.1816524964174	0.137687944746408	-8.58210570717546	9.31519768727978e-18	1.17502077743192e-15
ENSMUSG00000039239	Tgfb2	110.361162259198	119.866650600585	115.337435836816	22.938780743586	22.1549455619451	29.0051084485335	69.9440139084438	-2.22256098190976	0.261413337684546	-8.50209481121342	1.86199634581128e-17	2.32697821105693e-15
ENSMUSG00000032035	Ets1	143.567175682319	115.904116696433	107.930444544544	20.9441041571872	20.2284285565586	34.0059892155221	73.7633764754272	-2.29220753768053	0.270523451386511	-8.47323042025489	2.38679800890058e-17	2.95546905744322e-15
ENSMUSG00000045087	S1pr5	10.7431219898334	6.93443433226522	9.5232745186362	93.7497995607429	103.068659788179	62.0109215106579	47.6717019500525	3.25123265180925	0.384023739292315	8.46622830609553	2.53467105580332e-17	3.11004138547067e-15
ENSMUSG00000029121	Crmp1	149.427060404046	114.913483220395	161.895666816815	385.969919468165	291.86732631606	452.079621335764	259.358846260207	1.4072073045477	0.166443128543679	8.45458335745239	2.80085645360868e-17	3.40569004994201e-15
ENSMUSG00000038236	Hoxa7	573.292055275655	614.192755143491	566.105763052263	92.7524612675435	107.884952301646	174.030650691201	354.7097729553	-2.22707356810389	0.264529516472263	-8.41899837040457	3.79716686550213e-17	4.57592510568591e-15
ENSMUSG00000026739	Bmi1	284.204409003774	295.208775859291	318.500625567722	101.728505906338	128.113380858204	143.025189935872	211.796814521867	-1.26722122586112	0.15155308814668	-8.36156650687744	6.18908904887425e-17	7.39240131793414e-15
ENSMUSG00000075304	Sp5	332.060134231214	296.199409335329	315.326200728176	1224.73142404885	1040.31918290873	774.136342729826	663.795448997021	1.68745592794021	0.202811944482944	8.32029855165714	8.77420198194234e-17	1.03881933465154e-14
ENSMUSG00000031837	Necab2	253.928337941517	286.29307457495	258.186553616359	483.709072201705	596.257013167132	493.08684362507	395.243482521122	0.978639881264297	0.11778269056205	8.308859957217	9.6625873857499e-17	1.13405166909101e-14
ENSMUSG00000051354	Samd3	2.92994236086365	2.97190042811367	3.1744248395454	121.675271770326	100.1788842801	40.0070461359083	45.1562449691428	4.85240825425613	0.587331312206538	8.26179049781319	1.43503410533548e-16	1.6697116654925e-14
